Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Challenger Plateau,Pacific Ocean,-38.62,168.94,exact location,482,continental slope (>200-2000m),4.32,ex situ ,core incubation,TOU,sand,not investigated,no
Yellow Sea,Pacific Ocean,38.3855,121.3876,approximated location,57,continental shelf (>50-200m),4.32132964,ex situ,core incubation,TOU,clay,NA,no
Chukchi Sea,Arctic Ocean,70.84,169,exact location,39,near-shore (0-50m),4.33,ex situ ,core incubation,TOU,NA,NA,no
Mid-Atlantic continental slope,Atlantic Ocean,36.0837,-74.7352,exact location,850,continental slope (>200-2000m),4.33,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Gulf of Lions,Mediterranean Sea,43.25,5.13,exact location,94,continental shelf (>50-200m),4.33,ex situ ,core incubation,TOU,silt/ clay,NA,no
Bering Sea,Pacific Ocean,61.4077,-171.9961,exact location,60,continental shelf (>50-200m),4.33,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Smith Sound,Arctic Ocean,76.28,-74.24,exact location,465.5,continental slope (>200-2000m),4.36,ex situ ,core incubation,TOU,silt/ clay/ sand,not investigated,no
Bering Sea,Pacific Ocean,62.02,-175.05,exact location,83,continental shelf (>50-200m),4.36,ex situ ,core incubation,TOU,NA,NA,no
British Columbia,Pacific Ocean,48.31,-126.06,exact location,896,continental slope (>200-2000m),4.36,ex situ ,core incubation,TOU,NA,not investigated,no
Mediterranean Sea,Mediterranean Sea,42.83,4.33,exact location,480,continental slope (>200-2000m),4.37,ex situ ,core incubation,TOU,silt,not investigated,no
Bering Sea,Pacific Ocean,62.05,-175.21,exact location,83,continental shelf (>50-200m),4.37,ex situ ,core incubation,TOU,NA,NA,no
"Lunenburg Bay, Nova Scotia",Atlantic Ocean,44.32,-64.29,approximated location,7,near-shore (0-50m),4.38,ex situ ,core incubation,TOU,NA,yes,no
Bering Sea,Pacific Ocean,57.5,-175.24,exact location,3941,abyssal plain/ continental rise (>2000m),4.38,ex situ ,core incubation,TOU,NA,not investigated,no
Onslow Bay,Atlantic Ocean,33.9592,-77.6877,approximated location,17.7,near-shore (0-50m),4.4,in situ,benthic incubation chamber,TOU,artificial reef,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.64,-70.91,approximated location,7,near-shore (0-50m),4.4,ex situ ,core incubation,TOU,NA,NA,no
Goban Spur,Atlantic Ocean,49.42,-11.52,exact location,650,continental slope (>200-2000m),4.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.47,-11.21,exact location,208,continental slope (>200-2000m),4.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-23.34,12.38,exact location,1947,continental slope (>200-2000m),4.4,ex situ,core microprofiling,DOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,29.0834,-93.0127,exact location,23,near-shore (0-50m),4.4,in situ,lander with benthic chambers,TOU,NA,no,no
Gulf of Mexico,Gulf of Mexico,28.8453,-90.3082,exact location,22,near-shore (0-50m),4.4,in situ,lander with benthic chambers,TOU,NA,no,no
"China, South China Sea",Pacific Ocean,22.6929,117.178,exact location,43,near-shore (0-50m),4.4,ex situ,core incubation,TOU,sand,NA,no
"China, South China Sea",Pacific Ocean,23.0673,117.8704,exact location,37,near-shore (0-50m),4.4,ex situ,core incubation,TOU,sand,NA,no
Arctic Ocean,Arctic Ocean,76.29,-74.137,exact location,451,continental slope (>200-2000m),4.400584795,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,56.06,-171.3,exact location,2750,abyssal plain/ continental rise (>2000m),4.41,ex situ ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,76,34.85,exact location,242,continental slope (>200-2000m),4.42,ex situ ,core microprofiling,DOU,NA,not investigated,no
East China Sea,Pacific Ocean,28.6586,124.4156,approximated location,78,continental shelf (>50-200m),4.432132964,ex situ,core incubation,TOU,silt/ clay/ sand,NA,no
Chukchi Sea,Arctic Ocean,73.62,-165.48,exact location,120,continental shelf (>50-200m),4.44,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.63,-171.99,exact location,50,near-shore (0-50m),4.47,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.5123,-175.3,exact location,80,continental shelf (>50-200m),4.48,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
BIOTRANS Station,Atlantic Ocean,47.25,-19.6,exact location,4560,abyssal plain/ continental rise (>2000m),4.49,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.404,-156.1158,approximated location,NA,near-shore (0-50m),4.5,in situ,lander with benthic chambers,TOU,NA,no,no
Svalbard,Arctic Ocean,77.7633,15.065,exact location,115,continental shelf (>50-200m),4.5,in situ,lander with microprofiler,DOU,NA,no,no
W Atlantic Ocean,Atlantic Ocean,37.9167,-74.4167,exact location,59,continental shelf (>50-200m),4.5,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,56.73,-170.13,exact location,111,continental shelf (>50-200m),4.5,ex situ ,core incubation,TOU,NA,NA,no
central Chile,Pacific Ocean,-35.2167,-73.1117,exact location,1445,continental slope (>200-2000m),4.5,in situ,core incubation,TOU,NA,not investigated,no
North Sea,Atlantic Ocean,53.72,4.53,exact location,37,near-shore (0-50m),4.51,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.98,-173,exact location,66,continental shelf (>50-200m),4.51,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.86,-158.31,exact location,1099,continental slope (>200-2000m),4.54,ex situ ,core incubation,TOU,silt,not investigated,no
Aegean Sea,Mediterranean Sea,39.67,25.75,exact location,123,continental shelf (>50-200m),4.54,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
E Barrow,Arctic Ocean,71.65,-152.28,exact location,528,continental slope (>200-2000m),4.56,ex situ ,core incubation,TOU,NA,not investigated,no
Mediterranean Sea,Mediterranean Sea,43.22,3.78,exact location,80,continental shelf (>50-200m),4.56,ex situ ,core incubation,TOU,silt,NA,no
Gulf of Lions,Mediterranean Sea,43.07,5.13,exact location,162,continental shelf (>50-200m),4.56,ex situ ,core incubation,TOU,silt/ sand,not investigated,no
Chukchi Sea,Arctic Ocean,72.6934,-158.8027,exact location,160,continental shelf (>50-200m),4.569,ex situ,core microprofiling,DOU,NA,not investigated,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),4.569892473,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Rockall Trough,Atlantic Ocean,55.03,-12.05,exact location,2880,abyssal plain/ continental rise (>2000m),4.58,ex situ ,core incubation,TOU,NA,not investigated,no
Cretan Sea ,Mediterranean Sea,35.4236,25.1,approximated location,200,continental shelf (>50-200m),4.58,in situ,lander with benthic chambers,TOU,silt/ sand/ clay,not investigated,no
Challenger Plateau,Pacific Ocean,-40.87,170.85,exact location,537,continental slope (>200-2000m),4.58,ex situ ,core incubation,TOU,silt/ sand/ clay,not investigated,no
Challenger Plateau,Pacific Ocean,-40.88,170.86,exact location,532,continental slope (>200-2000m),4.58,ex situ ,core incubation,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,72.65,-161.1,exact location,48,near-shore (0-50m),4.59,ex situ ,core incubation,TOU,NA,no,no
Aegean Sea,Mediterranean Sea,39.67,25.75,exact location,123,continental shelf (>50-200m),4.59,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
East China Sea,Pacific Ocean,30.8965,126.162,approximated location,65,continental shelf (>50-200m),4.59833795,ex situ,core incubation,TOU,clayey silt,NA,no
Gulf of Mexico,Gulf of Mexico,28.8453,-90.3082,exact location,22,near-shore (0-50m),4.6,in situ,lander with benthic chambers,TOU,NA,no,no
Oregon shelf,Pacific Ocean,44.23,-124.32,exact location,82,continental shelf (>50-200m),4.6,in situ,eddy covariance system,TOU,fine sand,NA,no
central Chile,Pacific Ocean,-35.2183,-73.2033,exact location,580,continental slope (>200-2000m),4.6,in situ,core microprofiling,DOU,NA,not investigated,no
"China, South China Sea",Pacific Ocean,22.1342,115.8583,exact location,71,continental shelf (>50-200m),4.6,ex situ,core microprofiling,DOU,NA,NA,no
Bering Sea,Pacific Ocean,62.02,-175.07,exact location,79,continental shelf (>50-200m),4.62,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
California,Pacific Ocean,35.6,-121.2,exact location,95,continental shelf (>50-200m),4.62,in situ,lander with benthic chambers,TOU,NA,no,no
Aegean Sea,Mediterranean Sea,39.67,25.75,exact location,123,continental shelf (>50-200m),4.63,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,62.02,-175.07,exact location,79,continental shelf (>50-200m),4.63,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,56.84,-173.31,exact location,163,continental shelf (>50-200m),4.63,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.01,-175.05,exact location,83,continental shelf (>50-200m),4.65,ex situ ,core incubation,TOU,NA,NA,no
Mediterranean Sea,Mediterranean Sea,40.67,1.02,exact location,60,continental shelf (>50-200m),4.656,ex situ ,core microprofiling,DOU,silt,NA,no
E Barrow,Arctic Ocean,71.65,-152.28,exact location,528,continental slope (>200-2000m),4.66,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-44.02,178.52,exact location,770,continental slope (>200-2000m),4.66,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-44,178.52,exact location,766,continental slope (>200-2000m),4.66,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
"Skagerrak, North Sea",Atlantic Ocean,58.2,9.4,exact location,677,continental slope (>200-2000m),4.69,ex situ ,core microprofiling,DOU,NA,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,55.7833,10.3833,exact location,13,near-shore (0-50m),4.7,ex situ,core microprofiling,DOU,muddy sand,NA,no
S Atlantic Ocean,Atlantic Ocean,-23.34,12.38,exact location,1947,continental slope (>200-2000m),4.7,ex situ,core incubation,TOU,NA,not investigated,no
Arabian Sea,Indian Ocean,20,65.57,exact location,3190,abyssal plain/ continental rise (>2000m),4.7,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Umpqua River shelf,Pacific Ocean,43.92,-124.69,exact location,190,continental shelf (>50-200m),4.7,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.3498,120.2665,exact location,655.5,continental slope (>200-2000m),4.7211548,ex situ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.02,-175.07,exact location,80,continental shelf (>50-200m),4.73,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.0245,-175.0645,exact location,80,continental shelf (>50-200m),4.74,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,56.29,-171.05,exact location,140,continental shelf (>50-200m),4.75,ex situ ,core incubation,TOU,NA,NA,no
Washington,Pacific Ocean,46.84,-124.88,exact location,225,continental slope (>200-2000m),4.75,in situ,lander with benthic chambers,TOU,sand,not investigated,no
"N Dogger Bank, North Sea",Atlantic Ocean,54.6833,2.2833,exact location,81,continental shelf (>50-200m),4.752,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,59.56,-175.2,exact location,135,continental shelf (>50-200m),4.76,ex situ ,core incubation,TOU,NA,NA,no
British Columbia,Pacific Ocean,48.4,-125.9,exact location,298,continental slope (>200-2000m),4.76,ex situ ,core incubation,TOU,NA,not investigated,no
Yellow Sea,Pacific Ocean,35.768,123.066,approximated location,77,continental shelf (>50-200m),4.764542936,ex situ,core incubation,TOU,clay,NA,no
Gulf of Lions,Mediterranean Sea,43.02,3.33,exact location,64,continental shelf (>50-200m),4.77,ex situ ,core incubation,TOU,silt/ clay,NA,no
E Barrow,Arctic Ocean,71.64,-152.22,exact location,854,continental slope (>200-2000m),4.8,ex situ ,core incubation,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,80.38,-10.4,exact location,328,continental slope (>200-2000m),4.8,ex situ ,core incubation,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,80,-7.8,exact location,240,continental slope (>200-2000m),4.8,ex situ ,core incubation,TOU,NA,not investigated,no
Kobbelfjord (Kangerluarsunnguaq Fjord),Atlantic Ocean,64.1747,-51.5212,exact location,51,continental shelf (>50-200m),4.8,ex situ ,core incubation,TOU,mud,NA,no
Celtic continental margin,Atlantic Ocean,49.483,-11.1328,exact location,200,continental shelf (>50-200m),4.8,ex situ,core incubation,TOU,very fine sand,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-17.44,11.01,exact location,1747,continental slope (>200-2000m),4.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-29.19,13.09,exact location,3095,abyssal plain/ continental rise (>2000m),4.8,ex situ,core incubation,TOU,NA,not investigated,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),4.8,in situ,lander with microprofiler,DOU,muddy sand,NA,no
Oregon-California,Pacific Ocean,40.95,-124.3,exact location,90,continental shelf (>50-200m),4.8,in situ,lander with benthic chambers,TOU,NA,no,no
Bering Sea,Pacific Ocean,59.9,-170.4,exact location,63,continental shelf (>50-200m),4.83,ex situ ,core incubation,TOU,NA,NA,no
Mid-Atlantic Bight,Atlantic Ocean,39.4881,-74.2339,approximated location,15,near-shore (0-50m),4.84,in situ,benthic incubation chamber,TOU,NA,yes,no
Bering Sea,Pacific Ocean,62.08,-172.94,exact location,54,continental shelf (>50-200m),4.85,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.9,-174.58,exact location,65,continental shelf (>50-200m),4.86,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.9017,-174.5772,exact location,65,continental shelf (>50-200m),4.86,ex situ ,core incubation,TOU,silt,NA,no
Beaufort Sea,Arctic Ocean,72.33,-151.93,exact location,3000,abyssal plain/ continental rise (>2000m),4.87,ex situ ,core microprofiling,DOU,NA,not investigated,no
BIOTRANS Station,Atlantic Ocean,47.25,-19.6,exact location,4560,abyssal plain/ continental rise (>2000m),4.87,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Rockall Trough,Atlantic Ocean,55.03,-12.05,exact location,2880,abyssal plain/ continental rise (>2000m),4.87,ex situ ,core incubation,TOU,NA,not investigated,no
Washington,Pacific Ocean,46.83,-124.86,exact location,222,continental slope (>200-2000m),4.89,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,70.05,-126.3,exact location,234,continental slope (>200-2000m),4.9,ex situ ,core incubation,TOU,fine silt with drop stones,not investigated,no
Beaufort Sea,Arctic Ocean,71.9,-125.87,exact location,54,continental shelf (>50-200m),4.9,ex situ ,core incubation,TOU,fine silt with drop stones,no,no
"E Gotland Basin, Baltic Sea",Atlantic Ocean,57.407,20.5367,exact location,140,continental shelf (>50-200m),4.9,ex situ ,core microprofiling,DOU,NA,no,no
Yemen-Somalia,Indian Ocean,-3.16,40.68,exact location,500,continental slope (>200-2000m),4.9,ex situ ,core incubation,TOU,NA,not investigated,no
Yemen-Somalia,Indian Ocean,-2.01,41.45,exact location,500,continental slope (>200-2000m),4.9,ex situ ,core incubation,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-35.2183,-73.2033,exact location,580,continental slope (>200-2000m),4.9,in situ,lander with microprofiler,DOU,NA,not investigated,no
Taiwan,Pacific Ocean,22.35,120.27,exact location,655,continental slope (>200-2000m),4.9,ex situ ,core incubation,TOU,silt,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0118,139.3615,exact location,1450,continental slope (>200-2000m),4.9,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Skagerrak, North Sea",Atlantic Ocean,58.2,10.25,exact location,270,continental slope (>200-2000m),4.906536,ex situ ,core incubation,TOU,silt,not investigated,no
Greenland,Arctic Ocean,69.27,-53.93,exact location,100,continental shelf (>50-200m),4.91,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Lions,Mediterranean Sea,42.82,3.46,exact location,99,continental shelf (>50-200m),4.91,ex situ ,core incubation,TOU,silt/ clay/ sand,NA,no
Bering Sea,Pacific Ocean,55.74,-166.6,approximated location,134,continental shelf (>50-200m),4.92,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.88,-174.4,exact location,73,continental shelf (>50-200m),4.95,ex situ ,core incubation,TOU,NA,NA,no
Lake Superior,Lake,47.58,-88.28,approximated location,235,great lake,4.98,ex situ,core microprofiling,DOU,NA,not investigated,no
Hauraki Gulf,Pacific Ocean,-36.8093,175.3033,approximated location,35,near-shore (0-50m),4.988235294,ex situ ,core incubation,TOU,sand,yes,no
Chukchi Sea,Arctic Ocean,70.68,-166.52,exact location,79,continental shelf (>50-200m),4.99,ex situ ,core incubation,TOU,NA,NA,no
Svalbard,Arctic Ocean,76.9617,15.0033,exact location,138,continental shelf (>50-200m),5,ex situ,core microprofiling,DOU,NA,no,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.0836,-86.783,approximated location,0.3,near-shore (0-50m),5,ex situ,core incubation,TOU,NA,yes,no
Goban Spur,Atlantic Ocean,49.42,-11.52,exact location,670,continental slope (>200-2000m),5,ex situ,core microprofiling,DOU,NA,not investigated,no
Yemen-Somalia,Indian Ocean,-2.66,41.16,exact location,1000,continental slope (>200-2000m),5,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.01,-175.06,exact location,80,continental shelf (>50-200m),5,ex situ ,core incubation,TOU,NA,NA,no
Oregon-California,Pacific Ocean,41,-124.34,exact location,125,continental shelf (>50-200m),5,in situ,lander with benthic chambers,TOU,NA,no,no
Oregon shelf,Pacific Ocean,44.2333,-124.315,approximated location,82,continental shelf (>50-200m),5,in situ,lander with benthic chambers,TOU,sand,NA,no
Beaufort Sea,Arctic Ocean,73,-160.6,exact location,139,continental shelf (>50-200m),5.01,ex situ ,core microprofiling,DOU,NA,NA,no
Bering Sea,Pacific Ocean,61.93,-172.21,exact location,50,near-shore (0-50m),5.01,ex situ ,core incubation,TOU,NA,NA,no
Washington,Pacific Ocean,46.84,-124.88,exact location,225,continental slope (>200-2000m),5.01,in situ,lander with benthic chambers,TOU,sand,not investigated,no
Aegean Sea,Mediterranean Sea,39.97,25.75,exact location,80,continental shelf (>50-200m),5.02,in situ,lander with benthic chambers,TOU,mud,NA,no
Bering Sea,Pacific Ocean,62.76,-173.44,exact location,71,continental shelf (>50-200m),5.02,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.72,-173.61,exact location,65,continental shelf (>50-200m),5.03,ex situ ,core incubation,TOU,NA,NA,no
Young Sound,Arctic Ocean,74.3,-20.3,approximated location,62.9,continental shelf (>50-200m),5.04,in situ,eddy covariance system,TOU,cohesive mud,yes,no
Gulf of Lions,Mediterranean Sea,43.2,4.22,exact location,91,continental shelf (>50-200m),5.04,ex situ ,core incubation,TOU,clay/ silt,NA,no
Chukchi Sea,Arctic Ocean,69.83,166,exact location,34,near-shore (0-50m),5.05,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Lions,Mediterranean Sea,43.25,5.13,exact location,94,continental shelf (>50-200m),5.06,ex situ ,core incubation,TOU,silt/ clay,NA,no
Bering Sea,Pacific Ocean,62.4279,-173.4044,exact location,63,continental shelf (>50-200m),5.08,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Fram Strait,Arctic Ocean,79.028,11.087,exact location,275,continental slope (>200-2000m),5.1,ex situ ,core incubation,TOU,mud,not investigated,no
Svalbard,Arctic Ocean,77.55,19.0833,exact location,175,continental shelf (>50-200m),5.1,in situ,lander with microprofiler,DOU,NA,not investigated,no
Svalbard,Arctic Ocean,77.09,28.55,exact location,206,continental slope (>200-2000m),5.1,ex situ ,core incubation,TOU,NA,not investigated,no
Mid-Atlantic continental slope,Atlantic Ocean,36.4995,-74.68,exact location,740,continental slope (>200-2000m),5.1,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.64,-70.91,approximated location,7,near-shore (0-50m),5.1,ex situ ,core incubation,TOU,NA,NA,no
Goban Spur,Atlantic Ocean,49.48,-10.87,exact location,208,continental slope (>200-2000m),5.1,ex situ ,core incubation,TOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-11.91,13.07,exact location,1300,continental slope (>200-2000m),5.1,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Lake Baikal,Lake,51.6,104.908,exact location,600,rift lake,5.1,ex situ,core microprofiling,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,60.68,-176.75,exact location,123,continental shelf (>50-200m),5.1,ex situ ,core incubation,TOU,NA,NA,no
Oregon-California,Pacific Ocean,43.92,-124.69,exact location,190,continental shelf (>50-200m),5.1,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Eel River shelf,Pacific Ocean,40.95,-124.3,exact location,90,continental shelf (>50-200m),5.1,in situ,lander with benthic chambers,TOU,NA,NA,no
"China, South China Sea",Pacific Ocean,22.4086,116.4815,exact location,45,near-shore (0-50m),5.1,ex situ,core incubation,TOU,sand,NA,no
Gulf of Lions,Mediterranean Sea,43.07,4.75,exact location,102,continental shelf (>50-200m),5.14,ex situ ,core incubation,TOU,silt/ clay,NA,no
Aegean Sea,Mediterranean Sea,39.97,25.75,exact location,83,continental shelf (>50-200m),5.14,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,61.56,-172.9,exact location,66,continental shelf (>50-200m),5.15,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.5643,-172.899,exact location,66,continental shelf (>50-200m),5.15,ex situ ,core incubation,TOU,silt,NA,no
Mediterranean Sea,Mediterranean Sea,43.22,3.78,exact location,80,continental shelf (>50-200m),5.16,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,62.01,-175.06,exact location,84,continental shelf (>50-200m),5.19,ex situ ,core incubation,TOU,NA,NA,no
Arabian Sea,Indian Ocean,15.58,68.58,exact location,3950,abyssal plain/ continental rise (>2000m),5.2,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Gulf of Lions,Mediterranean Sea,43.12,3.8,exact location,96,continental shelf (>50-200m),5.2,ex situ ,core incubation,TOU,silt/ clay,NA,no
Bering Sea,Pacific Ocean,64.67,-169.92,exact location,48,near-shore (0-50m),5.2,ex situ ,core incubation,TOU,NA,NA,no
Eel River shelf,Pacific Ocean,41,-124.34,exact location,125,continental shelf (>50-200m),5.2,in situ,lander with benthic chambers,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.4,-177.48,exact location,115,continental shelf (>50-200m),5.22,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.58,-174.18,exact location,63,continental shelf (>50-200m),5.24,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.06,-175.21,exact location,82,continental shelf (>50-200m),5.25,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.0631,-175.207,exact location,82,continental shelf (>50-200m),5.25,ex situ ,core incubation,TOU,silt,NA,no
Gulf of Papua,Pacific Ocean,-8.28,143.41,exact location,5,near-shore (0-50m),5.25,ex situ ,core incubation,TOU,sand,no,no
Mediterranean Sea,Mediterranean Sea,40.83,0.9,exact location,60,continental shelf (>50-200m),5.256,ex situ ,core microprofiling,DOU,silt,NA,no
Chukchi Sea,Arctic Ocean,68.95,-166.92,exact location,46,near-shore (0-50m),5.26,ex situ ,core incubation,TOU,NA,NA,no
East China Sea,Pacific Ocean,31.8808,125.0629,approximated location,45,near-shore (0-50m),5.263157895,ex situ,core incubation,TOU,clayey silt,NA,no
Chukchi Sea,Arctic Ocean,71.65,-155.76,exact location,198,continental shelf (>50-200m),5.27,ex situ ,core incubation,TOU,NA,not investigated,no
Washington,Pacific Ocean,46.76,-124.56,exact location,106,continental shelf (>50-200m),5.27,in situ,lander with benthic chambers,TOU,sand,no,no
Gulf of Mexico,Gulf of Mexico,28,-90.2,approximated location,106,continental shelf (>50-200m),5.28,in situ,lander with benthic chambers,TOU,NA,NA,no
Bering Sea,Pacific Ocean,63,-173.5,exact location,72,continental shelf (>50-200m),5.28,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.93,-172.2,exact location,55,continental shelf (>50-200m),5.28,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.87,-158.55,exact location,470,continental slope (>200-2000m),5.29,ex situ ,core incubation,TOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-23.2533,12.805,exact location,992,continental slope (>200-2000m),5.3,ex situ,core microprofiling,DOU,NA,not investigated,no
Rhone Rivermouth,Mediterranean Sea,43.27,4.97,exact location,86,continental shelf (>50-200m),5.3,ex situ ,core microprofiling,DOU,silt/ clay,no,no
Bering Sea,Pacific Ocean,56.76,-167.86,exact location,99,continental shelf (>50-200m),5.3,ex situ ,core incubation,TOU,NA,NA,no
Oregon-California,Pacific Ocean,41,-124.34,exact location,125,continental shelf (>50-200m),5.3,in situ,lander with benthic chambers,TOU,NA,no,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.5316,-18.0738,approximated location,50,near-shore (0-50m),5.304,in situ,benthic incubation chamber,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,72.24,-159.89,exact location,47,near-shore (0-50m),5.31,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.0602,-175.2067,exact location,80,continental shelf (>50-200m),5.31,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Bering Sea,Pacific Ocean,56.06,-171.34,exact location,2798,abyssal plain/ continental rise (>2000m),5.33,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.3988,-174.5828,exact location,68,continental shelf (>50-200m),5.35,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
W Atlantic Ocean,Atlantic Ocean,37.9167,-74.4167,exact location,55,continental shelf (>50-200m),5.36,ex situ ,core incubation,TOU,NA,NA,no
Arctic Ocean,Arctic Ocean,76.326,-71.215,exact location,668,continental slope (>200-2000m),5.372807018,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.05,-175.2,exact location,83,continental shelf (>50-200m),5.38,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,63.12,-173.09,exact location,67,continental shelf (>50-200m),5.38,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.1221,-154.6643,exact location,1078,continental slope (>200-2000m),5.395,ex situ,core microprofiling,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.404,-156.1158,approximated location,NA,near-shore (0-50m),5.4,in situ,lander with benthic chambers,TOU,NA,no,no
Goban Spur,Atlantic Ocean,49.5,-11.14,exact location,208,continental slope (>200-2000m),5.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Sean Gas Field, North Sea",Atlantic Ocean,53.15,2.8,exact location,29,near-shore (0-50m),5.4,ex situ,core incubation,TOU,sand,NA,no
Oregon-California,Pacific Ocean,41,-124.34,exact location,125,continental shelf (>50-200m),5.4,in situ,lander with benthic chambers,TOU,NA,no,no
