Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
equatorial Pacific Ocean,Pacific Ocean,-12,-135,approximated location,4300,abyssal plain/ continental rise (>2000m),0.25,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-57.51,-30.24,exact location,3378,abyssal plain/ continental rise (>2000m),0.25,in situ,lander with microprofiler,DOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-57.54,-27.46,exact location,3164,abyssal plain/ continental rise (>2000m),0.25,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.985,-16.4133,exact location,4803,abyssal plain/ continental rise (>2000m),0.25992,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,77.17,-10.48,exact location,487,continental slope (>200-2000m),0.26,NA,NA,NA,clay/ silt,not investigated,no
Laptev Sea,Arctic Ocean,79.3,118.75,exact location,2620,abyssal plain/ continental rise (>2000m),0.26,ex situ ,core microprofiling,DOU,clay,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,32.5792,-133,approximated location,4900,abyssal plain/ continental rise (>2000m),0.266666667,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Ceara Rise,Atlantic Ocean,4.416,-43.6531,approximated location,3280,abyssal plain/ continental rise (>2000m),0.27,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bay of Campeche,Gulf of Mexico,18.78,-93.23,approximated location,61,continental shelf (>50-200m),0.27,ex situ ,core incubation,TOU,silt/ clay,NA,no
Pacific Ocean,Pacific Ocean,35.01,-127.95,exact location,4772,abyssal plain/ continental rise (>2000m),0.27,in situ,porewater extraction,DOU,clay,not investigated,no
California,Pacific Ocean,33.3,-118.6,exact location,1300,continental slope (>200-2000m),0.27,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Mussau Trench,Pacific Ocean,0.8973,148.8892,exact location,7011,abyssal plain/ continental rise (>2000m),0.27,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Weddell Abyssal Plain,Southern Ocean,-64.91,-2.52,exact location,5060,abyssal plain/ continental rise (>2000m),0.27,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bay of Campeche,Gulf of Mexico,18.65,-93.95,approximated location,103,continental shelf (>50-200m),0.28,ex situ ,core incubation,TOU,silt/ clay,NA,no
Peru Basin,Pacific Ocean,-7.13,-88.45,exact location,4160,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with benthic chambers,TOU,silt/ clay,not investigated,no
Argentine Basin,Southern Ocean,-48.5,-37.02,exact location,5408,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with microprofiler,DOU,NA,not investigated,no
South Sandwich Basin,Southern Ocean,-54.64,-23.96,exact location,4381,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with microprofiler,DOU,NA,not investigated,no
Antarctic shelf,Southern Ocean,-52.01,0.02,exact location,2990,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with microprofiler,DOU,NA,not investigated,no
Southern Ocean,Southern Ocean,-52.58,8.99,exact location,3314,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with microprofiler,DOU,NA,not investigated,no
Southern Ocean,Southern Ocean,-52.59,9,exact location,3330,abyssal plain/ continental rise (>2000m),0.28,in situ,lander with microprofiler,DOU,NA,not investigated,no
South Sandwich Basin,Southern Ocean,-55.97,-22.25,exact location,4414,abyssal plain/ continental rise (>2000m),0.29,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,-34.6167,-51.2333,exact location,2033,abyssal plain/ continental rise (>2000m),0.3,ex situ ,core microprofiling,DOU,NA,not investigated,no
Ceara Rise,Atlantic Ocean,4.3439,-43.8497,approximated location,4685,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
Celtic continental margin,Atlantic Ocean,49.04,-13.7,exact location,4500,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with benthic chambers,TOU,silt,not investigated,no
Atlantic Ocean,Atlantic Ocean,30.4333,-12.895,exact location,2504,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.03,-12.3,exact location,4460,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-43.2333,-80.45,exact location,3533,abyssal plain/ continental rise (>2000m),0.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Water Polynya,Arctic Ocean,79.91,-16.95,exact location,318,continental slope (>200-2000m),0.31,NA,NA,NA,clay/ silt,not investigated,no
E Greenland continental margin,Arctic Ocean,78.99,-5.68,exact location,794,continental slope (>200-2000m),0.31,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.31,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.31,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.31,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Lake Hazen,Lake,81.842,-70.852,exact location,35,high arctic,0.31,ex situ,core microprofiling,DOU,NA,not investigated,no
Cape Basin,Southern Ocean,-47.01,3,exact location,4332,abyssal plain/ continental rise (>2000m),0.31,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,77.69,118.58,exact location,1517,continental slope (>200-2000m),0.32,ex situ ,core microprofiling,DOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.32,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.32,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.32,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.79,-122.99,exact location,4072,abyssal plain/ continental rise (>2000m),0.32,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Chukchi Sea,Arctic Ocean,72.88,-158.41,exact location,931,continental slope (>200-2000m),0.33,ex situ ,core incubation,TOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,34.3333,-70.35,exact location,5210,abyssal plain/ continental rise (>2000m),0.33,in situ,lander with microprofiler,DOU,NA,not investigated,no
Ceara Rise,Atlantic Ocean,4.3439,-43.8497,approximated location,4120,abyssal plain/ continental rise (>2000m),0.33,in situ,lander with microprofiler,DOU,NA,not investigated,no
South Sandwich Basin,Southern Ocean,-56.83,-22.33,exact location,4747,abyssal plain/ continental rise (>2000m),0.33,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.6771,120.1306,exact location,2415,abyssal plain/ continental rise (>2000m),0.3392867,ex situ,core incubation,TOU,NA,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.34,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,11,-140.07,exact location,4910,abyssal plain/ continental rise (>2000m),0.34,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.1298,120.5738,exact location,400,continental slope (>200-2000m),0.3425765,ex situ,core microprofiling,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.741,-16.57,exact location,4836,abyssal plain/ continental rise (>2000m),0.34872,in situ,lander with benthic chambers,TOU,NA,not investigated,no
